"Campaign name","Ad name","Image, video and slideshow",Reach,Impressions,"Attribution setting","Result type",Results,"Amount spent (USD)",Starts,Ends,"Link clicks","Cost per result","Reporting starts","Unique link clicks","Reporting ends"
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)",11656,12396,"7-day click or 1-day view","Meta Leads",15,136.14,2022-01-07,2022-01-18,37,9.076,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)",4421,5520,"7-day click or 1-day view","Meta Leads",6,124.99,2022-01-07,2022-01-17,17,20.831666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",5712,6510,"7-day click or 1-day view","Meta Leads",3,124.9,2022-01-07,2022-01-18,26,41.633333333333,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (310295524327625)",9564,11812,"7-day click or 1-day view","Meta Leads",22,122.24,2021-12-23,2022-01-04,51,5.5563636363636,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)",5884,6986,"7-day click or 1-day view","Meta Leads",6,119.06,2022-01-07,2022-01-17,20,19.843333333333,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",6080,7489,"7-day click or 1-day view","Meta Leads",12,114.8117227292,2022-01-07,2022-01-17,34,9.5676435607668,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",7832,9815,"7-day click or 1-day view","Meta Leads",8,106.27,2022-01-07,2022-01-17,31,13.28375,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)",5274,6070,"7-day click or 1-day view","Meta Leads",3,102.59,2022-01-07,2022-01-17,21,34.196666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",6110,7024,"7-day click or 1-day view","Meta Leads",12,101.15,2022-01-07,2022-01-18,36,8.4291666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",2386,2866,"7-day click or 1-day view","Meta Leads",16,87.753002779374,2021-11-30,2021-12-20,40,5.4845626737109,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Global Poverty (Factual V2)","gg_factual_short.mp4 (1298714567312091)",2036,2403,"7-day click or 1-day view","Meta Leads",7,84.989763640293,2021-12-08,2021-12-20,34,12.141394805756,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Global Poverty (Factual V3)","gg_factual_short.mp4 (1298714567312091)",8838,9903,"7-day click or 1-day view","Meta Leads",9,82.9,2021-12-23,2022-01-04,31,9.2111111111111,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",6214,7437,"7-day click or 1-day view","Meta Leads",12,75.12,2022-01-07,2022-01-17,33,6.26,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)",5884,6472,"7-day click or 1-day view","Meta Leads",8,69.658910759762,2022-01-07,2022-01-17,27,8.7073638449703,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Animal Welfare (Factual V3)","gg_factual_short.mp4 (1298714567312091)",3444,5089,"7-day click or 1-day view","Meta Leads",13,66.054943862275,2021-12-23,2022-01-04,28,5.0811495278673,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)",2437,2849,"7-day click or 1-day view","Meta Leads",6,52.037803163445,2022-01-07,2022-01-17,24,8.6729671939074,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Auto_Cropped_AR_4_X_5_DCO_Free Effective Giving Guide 2021 (1084969232319046)",1463,1675,"7-day click or 1-day view","Meta Leads",3,49.168997666264,2021-11-30,2021-12-20,7,16.389665888755,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v (448955280029775)",3350,3626,"7-day click or 1-day view","Meta Leads",12,47.97,2021-12-23,2022-01-04,18,3.9975,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Lookalikes (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)",463,536,"7-day click or 1-day view","Meta Leads",4,41.52,2021-11-30,2021-12-08,8,10.38,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",1369,1707,"7-day click or 1-day view","Meta Leads",3,39.325596111883,2021-11-30,2021-12-20,39,13.108532037294,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",1323,1585,"7-day click or 1-day view","Meta Leads",3,36.26,2021-12-23,2022-01-04,15,12.086666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)",931,1096,"7-day click or 1-day view","Meta Leads",1,35.53,2022-01-07,2022-01-17,4,35.53,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_2 (1).mp4 (241881881223781)",536,716,"7-day click or 1-day view","Meta Leads",4,33.160953899919,2021-11-30,2021-12-20,8,8.2902384749798,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v (448955280029775)",2995,3146,"7-day click or 1-day view",,,32.454462738978,2021-12-23,2022-01-04,2,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",1466,1707,"7-day click or 1-day view","Meta Leads",4,32.2,2021-12-23,2022-01-04,7,8.05,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",336,408,"7-day click or 1-day view","Meta Leads",3,31.092990547015,2021-11-30,2021-12-20,5,10.364330182338,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",1580,1811,"7-day click or 1-day view","Meta Leads",2,29.613059168131,2022-01-07,2022-01-17,8,14.806529584066,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)",960,1144,"7-day click or 1-day view","Meta Leads",3,29,2022-01-07,2022-01-17,7,9.6666666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Climate Change (Factual V3)","gg_factual_short.mp4 (1298714567312091)",1499,2239,"7-day click or 1-day view","Meta Leads",3,27.63,2021-12-23,2022-01-04,13,9.21,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Climate Change (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)",344,485,"7-day click or 1-day view","Meta Leads",3,26.106378841673,2021-11-30,2021-12-08,7,8.7021262805577,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)",757,853,"7-day click or 1-day view",,,25.719322512929,2021-11-30,2021-12-20,7,,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4 (781205209944796)",329,378,"7-day click or 1-day view","Meta Leads",2,24.778321401484,2021-11-30,2021-12-20,3,12.389160700742,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","ggwc_emotional_set_3 (1).mp4 (287217033315901)",1783,1972,"7-day click or 1-day view","Meta Leads",2,24.058133957602,2021-12-23,2022-01-04,4,12.029066978801,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)",2095,2255,"7-day click or 1-day view","Meta Leads",3,23.44,2022-01-07,2022-01-17,6,7.8133333333333,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",1966,2215,"7-day click or 1-day view","Meta Leads",3,23.35760593055,2021-12-23,2022-01-04,7,7.7858686435167,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",1108,1209,"7-day click or 1-day view","Meta Leads",2,22.85,2022-01-07,2022-01-17,5,11.425,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Philanthropy (Factual)","gg_factual_short.mp4 (1298714567312091)",702,759,"7-day click or 1-day view","Meta Leads",1,21.139354365819,2021-11-30,2021-12-08,2,21.139354365819,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)",2005,2139,"7-day click or 1-day view",,,20.98,2022-01-07,2022-01-17,5,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)",652,769,"7-day click or 1-day view",,,20.47,2022-01-07,2022-01-17,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",354,387,"7-day click or 1-day view","Meta Leads",2,19.624510609172,2021-11-30,2021-12-20,7,9.8122553045859,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",779,854,"7-day click or 1-day view","Meta Leads",1,19.41,2022-01-07,2022-01-17,5,19.41,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Animal Welfare (Factual)","gg_factual_short.mp4 (1298714567312091)",671,697,"7-day click or 1-day view",,,19.406233993015,2021-11-30,2021-12-08,3,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)",654,841,"7-day click or 1-day view","Meta Leads",2,18.6,2022-01-07,2022-01-17,5,9.3,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)",1368,1483,"7-day click or 1-day view","Meta Leads",2,18.24,2022-01-07,2022-01-17,5,9.12,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Philanthropy (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)",247,349,"7-day click or 1-day view",,,18.229443239776,2021-11-30,2021-12-08,4,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",948,1021,"7-day click or 1-day view","Meta Leads",2,17.73,2022-01-07,2022-01-17,6,8.865,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",592,708,"7-day click or 1-day view",,,17.54,2022-01-07,2022-01-17,5,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)",1070,1138,"7-day click or 1-day view","Meta Leads",3,15.4,2021-12-23,2022-01-04,5,5.1333333333333,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Climate Change (Factual)","gg_factual_short.mp4 (1298714567312091)",576,607,"7-day click or 1-day view",,,14.997919671585,2021-11-30,2021-12-08,2,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_3 (1).mp4 (287217033315901)",1162,1325,"7-day click or 1-day view","Meta Leads",1,14.82,2022-01-07,2022-01-17,3,14.82,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)",962,1112,"7-day click or 1-day view","Meta Leads",2,14.71,2022-01-07,2022-01-17,3,7.355,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)",1324,1393,"7-day click or 1-day view","Meta Leads",2,14.67105839511,2021-12-23,2022-01-04,7,7.3355291975549,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","Auto_Cropped_AR_4_X_5_DCO_Free Effective Giving Guide 2021 (1085039132312056)",234,249,"7-day click or 1-day view","Meta Leads",1,14.490714616053,2021-11-30,2021-12-20,3,14.490714616053,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_2 (1).mp4 (717231612998210)",252,331,"7-day click or 1-day view","Meta Leads",2,13.567670720409,2021-11-30,2021-12-20,5,6.7838353602045,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Philanthropy (Factual V3)","gg_factual_short.mp4 (1298714567312091)",566,796,"7-day click or 1-day view","Meta Leads",1,13.53,2021-12-23,2022-01-04,6,13.53,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Lookalikes (Factual V3)","gg_factual_short.mp4 (1298714567312091)",475,680,"7-day click or 1-day view",,,13.13,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Philanthropy (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2872565799632641)",200,227,"7-day click or 1-day view","Meta Leads",1,11.325348160466,2021-12-08,2021-12-20,2,11.325348160466,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)",479,500,"7-day click or 1-day view","Meta Leads",1,10.53,2021-12-23,2022-01-04,4,10.53,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v (448955280029775)",555,571,"7-day click or 1-day view","Meta Leads",1,9.88,2021-12-23,2022-01-04,2,9.88,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","Free Effective Giving Guide 2021 (866994837312979)",399,592,"7-day click or 1-day view","Meta Leads",2,9.56,2022-01-07,2022-01-17,2,4.78,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",477,684,"7-day click or 1-day view",,,9.45,2021-12-23,2022-01-04,5,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Lookalikes (Factual)","gg_factual_short.mp4 (1298714567312091)",143,149,"7-day click or 1-day view","Meta Leads",1,9.32,2021-11-30,2021-12-08,1,9.32,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Climate Change (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2872564422966112)",182,213,"7-day click or 1-day view","Meta Leads",1,9.0035536343476,2021-12-08,2021-12-20,1,9.0035536343476,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Global Poverty (Emotional)","Auto_Cropped_AR_4_X_5_DCO_Free Effective Giving Guide 2021 (1084968595652443)",302,359,"7-day click or 1-day view","Meta Leads",1,8.2771052324904,2021-11-30,2021-12-20,1,8.2771052324904,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_3 (1).mp4 (287217033315901)",617,659,"7-day click or 1-day view","Meta Leads",1,8.19,2022-01-07,2022-01-18,2,8.19,2021-11-20,,2022-01-31
